"id","sku","name","erp_id","status","unit","gtin","variation_type","product_creation_date","last_updated_by","created_at","updated_at","ncm","price","weight"
3036,"CAM-XXX-XXX-X-FAZ-NAS2","(ESTAMPADA) Camiseta “Eu nasci pra viver isso” - Ofazarte2","848921055","A","Und.","2233312360182","P","2024-11-05 16:45:43+00","9999999","2024-11-05 19:46:03.366+00","2024-11-05 19:46:03.366+00",NULL,"85.00",NULL
2286,"CAM-LEV-BNC-GG-FON-MLND","(ESTAMPADA) Camiseta ""Malandragem de verdade” - Fonseka - Leve - Branco - GG","847949521","A","Und.","2172635132703","V","2024-09-17 10:48:04+00","9999999","2024-09-17 13:48:17.259+00","2024-10-25 18:24:44.772+00",NULL,"85.00",NULL
1128,"MEA-CNA-BNC-U","Meia Canelada  - Branco - Único (37 ao 44)","748412034","A","Und.","7905196070338","V","2023-09-03 21:21:34+00","9999999","2024-06-06 20:55:19.282+00","2024-10-25 18:27:53.379+00",NULL,"25.90",NULL
1786,"CAM-LEV-PRT-XG-FAZ-MELH","(ESTAMPADA) Camiseta ""Só melhora e nada mais"" - Ofazarte - Leve - Preto - XG","847262484","A","Und.","2261460574731","V","2024-08-12 16:17:06+00","9999999","2024-08-12 19:55:48.061+00","2024-10-25 18:26:14.145+00",NULL,"85.00",NULL
2613,"CAM-EST-AME-G","(ESTONADA) Camiseta 180g - Ametista - G","848650042","A","Und.","2418372968688","V","2024-10-22 11:28:37+00","9999999","2024-10-22 16:14:28.047+00","2024-10-25 18:26:38.882+00",NULL,"107.90",NULL
2349,"CAM-XXX-XXX-X-COL-CICA","(ESTAMPADA) Camiseta ""Cicatrizes” - Colatino","848056949","A","Und.","2158088494131","P","2024-09-23 10:37:31+00","9999999","2024-09-23 13:37:43.358+00","2024-10-25 18:23:36.978+00",NULL,"85.00",NULL
2287,"CAM-LEV-BNC-M-FON-MLND","(ESTAMPADA) Camiseta ""Malandragem de verdade” - Fonseka - Leve - Branco - M","847949506","A","Und.","2263168803847","V","2024-09-17 10:48:02+00","9999999","2024-09-17 13:48:17.366+00","2024-10-25 18:24:44.952+00",NULL,"85.00",NULL
2633,"BAG-ECO-XXX-XXX-MRC-AZUL","(ESTAMPADA) Ecobag ""Arara-azul” - Marco","848735375","A","Und.","2875028192871","P","2024-10-25 15:21:47+00","9999999","2024-10-25 18:26:37.783+00","2024-10-25 19:33:07.438+00",NULL,"35.00",NULL
890,"CXM-3CM-XXX-P","Caixa Misteriosa Camisetas - Outlet - P","748413289","A","Und.","7905196070161","V","2023-09-03 21:22:10+00","9999999","2024-06-06 20:54:29.892+00","2024-10-25 18:27:23.109+00",NULL,"67.90",NULL
1473,"CAM-LEV-XXX-X-FON-GIRA","(ESTAMPADA) Camiseta ""Girassol"" - Fonseka","846973935","A","Und.",NULL,"P","2024-07-30 23:07:42+00","9999999","2024-07-31 02:59:07.675+00","2024-10-25 18:24:27.039+00",NULL,"85.00",NULL
